id,titulo,achado,correcao,impacto,gravidade
D1,Fonte de dados trocada,"A base usada em todas as gerações anteriores descendia de COLETAS.xlsx, que carrega um desalinhamento de linhas em 28 registros de dois atletas.","A base V2 parte da aba «Diário - Treino» do export do formulário, designada FONTE-VERDADE pela auditoria do autor.","Diferença máxima nas médias diárias: 0,30 ponto (PTH em D3). Nenhuma conclusão se inverte.",média
D2,Coluna de data corrompida,"A coluna «Data», preenchida pelo respondente, contém datas de nascimento e erros de digitação: 55 registros trazem ano anterior a 2020. Por esse campo, 84 dos 457 registros seriam inutilizáveis (68 caem fora da semana e 16 estão em branco), e 88 divergem do dia obtido pelo carimbo.","O dia passou a ser definido pelo carimbo de data/hora, com fronteira às 04h00.","Seis registros lançados entre 00h e 01h de 22/04 retornaram ao dia 1, ao qual pertencem: todos são de atletas que já haviam respondido na noite de 21/04.",alta
D3,Registros órfãos,"Quatro registros receberam o rótulo «Não Identificado» na coluna padronizada, o que criou um vigésimo oitavo atleta fantasma na contagem ingênua.","Dois foram recuperados por correspondência exata no dicionário de variantes e dois pelo nome curado em COLETAS.xlsx para o mesmo carimbo. Os quatro voltaram aos donos (A01, A01, A04, A07).","O elenco é de 27 atletas, não 28. Nenhum atleta-dia foi criado ou perdido.",média
D4,Unidade de análise não declarada — a causa raiz,"As sete gerações de manuscrito misturam quatro unidades de análise distintas sem declará-las. A mesma classificação, sobre os mesmos dados, produz variações do perfil iceberg entre D1 e D7 que vão de −0,6 a −18,0 pontos percentuais conforme a unidade escolhida.",Os dois artigos novos declaram o par atleta-dia como unidade única e reportam a matriz de reconciliação como resultado.,Explica integralmente as divergências que bloqueavam a submissão.,crítica
D5,Denominadores incompatíveis na comparação D1×D7,Uma das gerações comparou 27 atletas em D1 contra 37 registros de apenas 21 atletas em D7.,"A comparação passou a ser pareada, restrita aos 21 atletas com as duas medidas, e o contraste agregado passou a usar um registro por atleta-dia.",A variação do iceberg deixa de ser um artefato de contagem.,crítica
D6,Janela de coleta do dia 7,Em D7 todos os 46 registros ocorrem entre 08h e 14h; não existe medida noturna.,O contraste pré/pós de D7 passa a ser descrito como manhã contra início da tarde.,"Não altera número algum, mas corrige a interpretação do custo do último dia.",baixa
Q1,Coluna «Data» autorreferida diverge do carimbo,88 de 440 registros com data declarada divergem do dia obtido pelo carimbo; o conjunto inclui datas de nascimento.,"O dia passa a ser derivado exclusivamente do carimbo de data e hora, com virada às 4h.",88 de 440,alta
Q2,Nome em texto livre sem padronização,"67 grafias distintas para 48 nomes canônicos, 15 deles com mais de uma grafia.","A identidade passa a vir da coluna padronizada, e a codificação A01–A27 é feita na importação.",15 de 48,alta
Q3,Mais de dois registros no mesmo dia,"O protocolo previa uma coleta em D1 e duas de D2 a D7; a distribuição observada vai de 1 a 6 registros por par atleta-dia, e 17 pares consecutivos ocorrem em 30 minutos ou menos.","O valor diário é a média de todos os registros do dia; o contraste pré-pós usa o primeiro e o último. Nenhum registro é descartado, e a regra passa a ser declarada.",79 de 166,média
Q4,Rótulo do domínio da sonolência de Epworth,"A coluna da planilha é rotulada «Epworth Total (0-24)», mas o formulário aplicou seis das oito situações da escala, de modo que o máximo possível é 18. O máximo observado é 18.","O domínio declarado passa a 0 a 18, e o texto passa a dizer que é uma aplicação de seis itens.",6 de 8,média
Q5,Escores calculados da planilha,"As nove colunas calculadas foram reconstruídas por fórmula a partir dos itens em 4113 conferências, com 0 divergências.","Nada a corrigir. A pontuação da planilha está correta, e as divergências entre versões do manuscrito não vêm do escore.",0 de 4113,nenhuma
Q6,Cerca de Tukey inaplicável a subescala com piso,"Em Confusão, T de Confusão o intervalo interquartil é zero, de modo que a cerca de Tukey classifica como discrepante todo valor diferente do piso. O z modificado também falha, porque o desvio absoluto mediano é zero.","Nessas subescalas a triagem passa a ser feita pelo domínio admissível e pela comparação intraindividual, e não por regra de dispersão.",2 de 19,método
